PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,MH,EDAT,MHDA,CRDT,PHST,PST,SO,TT,SB,AID,AB,RF,PMC,AD,GR,OID
240702,NLM,MEDLINE,19760102,20190620,0014-2956 (Print) 0014-2956 (Linking),56,1,1975 Aug 1,Purification of arginases from human-leukemic lymphocytes and granulocytes: study of their physicochemical and kinetic properties.,137-47,"['Reyero, C', 'Dorner, F']","['Reyero C', 'Dorner F']",['eng'],['Journal Article'],England,Eur J Biochem,European journal of biochemistry,0107600,"['42Z2K6ZL8P (Manganese)', 'EC 3.5.3.1 (Arginase)']","['Arginase/*blood/isolation & purification', 'Enzyme Activation/drug effects', 'Granulocytes/drug effects/*enzymology', 'Humans', 'Hydrogen-Ion Concentration', 'Kinetics', 'Leukemia, Lymphoid/*enzymology', 'Leukemia, Myeloid/*enzymology', 'Leukocytes/*enzymology', 'Lymphocytes/drug effects/*enzymology', 'Manganese/pharmacology', 'Molecular Weight']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",ppublish,Eur J Biochem. 1975 Aug 1;56(1):137-47. doi: 10.1111/j.1432-1033.1975.tb02216.x.,,IM,['10.1111/j.1432-1033.1975.tb02216.x [doi]'],"Arginase has been isolated from granulocytes of a patient with chronic myelocytic leukemia and from lymphocytes of a patient with chronic lymphocytic leukemia and both enzymes have been purified to apparent homogeneity. The purification procedure employed acetone extraction, ammonium sulfate precipitation, DEAE-cellulose and CM-Sephadex chromatography and gel filtration on Bio-Gel A 1.5m. Both enzymes appear to be metalloenzymes, and to have molecular weights of about 120 000. Studies with the dissociated enzymes suggest that the subunit molecular weight is about 37 000, in agreement with a tetrameric aggregate structure of the native enzymes. Human leukemic granulocyte and lymphocyte arginases are strongly basic proteins with pI values between 9.25 and 9.35. Their free -SH groups enabled them to be linked to organomercurial-agarose. The kinetic properties estimated for both enzymes showed an optimum pH of 8.5, and an optimal MnCl2 concentration of 0.01 M. The Km for L-arginine is 2.7-3.1 mM and L-ornithine exhibits a mixed type of inhibition, with a Ki of 15.5-15.7 mM.",,,,,
240353,NLM,MEDLINE,19751204,20211203,0067-7957 (Print) 0067-7957 (Linking),,40,1975,Autoaggressive reactions and leukemia virus infections: interrelated events in their pathogenesis.,319-27,"['Hirsch, M S', 'Proffitt, M R', 'Black, P H', 'Ellis, D A']","['Hirsch MS', 'Proffitt MR', 'Black PH', 'Ellis DA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",Switzerland,Bibl Haematol,Bibliotheca haematologica,0372513,['0 (Histocompatibility Antigens)'],"['Animals', 'Carrier State', 'Graft Rejection', 'Graft vs Host Reaction', '*Histocompatibility Antigens', 'Immunosuppression Therapy', 'Lymph Nodes/microbiology', 'Lymphocytes/immunology', 'Mice', 'Milk/microbiology', '*Retroviridae/growth & development', 'Spleen/microbiology', 'Tumor Virus Infections/*immunology', 'Virus Replication']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",ppublish,Bibl Haematol. 1975;(40):319-27. doi: 10.1159/000397549.,,IM,['10.1159/000397549 [doi]'],"Leukemia viruses can be activated from within murine hosts by immunological reactions against foreign histocompatibility antigens both during graft versus host reactions (GVHR) and host versus graft reactions (HVGR). Presence of both lymphocyte-mediated graft rejection reactions and immuno suppression appears necessary for maximal virus activation and replication in vitro, although viruses can be activated by mixed lymphocyte reactions (MLR) alone in vitro. During HVGR, viruses are first detectable in lymph nodes draining the graft site, and later reach maximal titers in the spleen. Mice infected with murine leukemia virus (MuLV) as neonates or carrying MuLV secondary to milk transmission (carriers) also develop complex autoaggressive responses. By a sensitive in vitro microcytotoxicity assay, neoplastic or pre-neoplastic thymocytes from carrier mice were found to react vigorously against normal uninfected syngeneic embryonic fibroblasts, whereas they reacted much less vigorously with similarly prepared but MuLV-infected fibroblasts. Thymocytes from uninfected animals did not react with infected or uninfected fibroblasts. Peripheral lymphocytes from carriers reacted against MuLV infected fibroblasts, but not against uninfected fibroblasts, a pattern indistinguishable from deliberately-immunized mice. It is proposed that responses analogous to GVHR are also important in the pathogenesis of leukemia following exogenous leukemia virus infection.",,,,,
240225,NLM,MEDLINE,19751122,20001218,0041-1337 (Print) 0041-1337 (Linking),20,3,1975 Sep,Letter: Atypical mixed lymphocyte culture identity between mother and child in leukemia and aplastic anemia.,255-6,"['Dupont, B', 'Hansen, J A', 'Good, R A']","['Dupont B', 'Hansen JA', 'Good RA']",['eng'],['Journal Article'],United States,Transplantation,Transplantation,0132144,,"['Anemia, Aplastic/*immunology', 'Female', 'Genotype', 'Graft vs Host Reaction', '*Histocompatibility', 'Leukemia/*immunology', 'Lymphocyte Culture Test, Mixed', 'Maternal-Fetal Exchange', 'Pregnancy']",1975/09/01 00:00,1975/09/01 00:01,['1975/09/01 00:00'],"['1975/09/01 00:00 [pubmed]', '1975/09/01 00:01 [medline]', '1975/09/01 00:00 [entrez]']",ppublish,Transplantation. 1975 Sep;20(3):255-6.,,IM,,,,,,,
240017,NLM,MEDLINE,19751126,20131121,0022-3565 (Print) 0022-3565 (Linking),194,3,1975 Sep,"Enhancement of the antitumor effect of 1,3-bis(2-chloroethyl)-1-nitrosourea by various psychotropic drugs in combination with caffeine.",475-9,"['Cohen, M H']",['Cohen MH'],['eng'],['Journal Article'],United States,J Pharmacol Exp Ther,The Journal of pharmacology and experimental therapeutics,0376362,"['0 (Anti-Anxiety Agents)', '0 (Antipsychotic Agents)', '0 (Phenothiazines)', '0 (Psychotropic Drugs)', '12794-10-4 (Benzodiazepines)', '3G6A5W338E (Caffeine)', 'U68WG3173Y (Carmustine)']","['Animals', 'Anti-Anxiety Agents/therapeutic use', 'Antipsychotic Agents/therapeutic use', 'Benzodiazepines', 'Caffeine/*therapeutic use', 'Carmustine/*therapeutic use', 'Dose-Response Relationship, Drug', 'Drug Synergism', 'Drug Therapy, Combination', 'Leukemia L1210/drug therapy', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred DBA', 'Phenothiazines', 'Psychotropic Drugs/*therapeutic use']",1975/09/01 00:00,1975/09/01 00:01,['1975/09/01 00:00'],"['1975/09/01 00:00 [pubmed]', '1975/09/01 00:01 [medline]', '1975/09/01 00:00 [entrez]']",ppublish,J Pharmacol Exp Ther. 1975 Sep;194(3):475-9.,,IM,,"Certain psychotropic drugs when combined with caffeine significantly enhanced the antitumor effect of 1,3-bis(2-chloroethyl)-1-nitrosourea in murine leukemia L1210. Enhancement required that all three drugs be given together and optimal results were obtained when the psychotropic drug was given 6 hours before 1,3-bis(2-chloroethyl)-1-nitrosourea and caffeine. Thus, 1,3-bis(2-chloroethyl)-1-nitrosourea alone or with caffeine resulted in 5% cures. Addition of chlorpromazine increased the cure rate to 51% while prochlorperazine gave 30% cures. Chlordiazepoxide produced 39% cures while the dibenzazepine compounds studied were ineffective. For the phenothiazine, benzodiazepine and dibenzazepine compounds studied, tentative conclusions could be drawn on the relationship of chemical structure to enhancing activity. For phenothiazines, the substituent in the R2 position of the phenothiazine ring determined activity to a greater extent than did the substituent in the R1 position. For the benzodiazepine compounds, chlordiazepoxide was superior to diazepam. Although the mechanism of action of psychotropic drugs in this system is unknown, these preliminary results suggest the possibility of a change transfer reaction between the free radical form of the psychotropic drug and one or more intracellular constituents.",,,,,
239381,NLM,MEDLINE,19751021,20041117,0031-3998 (Print) 0031-3998 (Linking),9,8,1975 Aug,Studies on cystic fibrosis using isoelectric focusing. I. An assay for detection of cystic fibrosis homozygotes and heterozygote carriers from serum.,635-40,"['Wilson, G B', 'Fudenberg, H H', 'Jahn, T L']","['Wilson GB', 'Fudenberg HH', 'Jahn TL']",['eng'],['Journal Article'],United States,Pediatr Res,Pediatric research,0100714,"['0 (Gels)', '0 (Immunoglobulin G)']","['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Cystic Fibrosis/blood/*genetics', 'Female', 'Gels', '*Heterozygote', '*Homozygote', 'Humans', 'Hydrogen-Ion Concentration', 'Immunoglobulin G/analysis', 'Infant', 'Isoelectric Focusing', 'Male', 'Middle Aged']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",ppublish,Pediatr Res. 1975 Aug;9(8):635-40. doi: 10.1203/00006450-197508000-00005.,,IM,['10.1203/00006450-197508000-00005 [doi]'],"We have developed a standardized biophysical assay for the rapid detection of individuals homozygous or heterozygous for cystic fibrosis (C/F). The assay employs isoelectric focusing in thin layer polyacrylamide gels to analyze microliter quantities of whole serum for the presence of a C/F factor protein and for deletions in a group of proteins called proteins B, C, and D (Fig, 1). A pH 5-10 gradient is used (Fig. 2) and each sample is screened using a serum volume which contains 300 micrograms immunoglobulin G (IgG). Individuals homozygous or heterozygous for C/F are distinguished from normal unaffected individuals on the basis of the presence of a C/F factor protein band (Table 1). Heterozygous carriers for C/F are distinguished from C/F homozygotes 75 percent of the time, on the basis of a deletion in either band B, C, or D (Table 2). On the basis of screening 65 patients with cystic fibrosis, 61 heterozygous carriers for C/F, and 105 normal control subjects, it was concluded that no obvious correlation existed between either sex, age, or severity of the disease in the individual C/F patient, and the absolute presence or absence of the C/F factor. In addition, no correlation existed between sex or age and the presence of the C/F factor or deletions in proteins B, C, and D in the individual heterozygous carrier for C/F or normal control subjects. Analysis of serum samples from 68 patients with a variety of other diseases, many with clinical symptoms resembling those seen in the patient with cystic fibrosis (Table 3), indicated that the C/F factor protein described in this study appears to be diagnostic for C/F genotypes, with the possible exception of patients with certain types of leukemia.",,,,,
239106,NLM,MEDLINE,19751108,20190630,0022-3476 (Print) 0022-3476 (Linking),87,1,1975 Jul,Letter: Congenital absence of the pectoralis major muscle with acute lymphoblastic leukemia and genitourinary anomalies.,146-7,"['Miller, R A', 'Miller, D A']","['Miller RA', 'Miller DA']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Pediatr,The Journal of pediatrics,0375410,['0 (Antineoplastic Agents)'],"['Abnormalities, Multiple', 'Antineoplastic Agents/therapeutic use', 'Child', 'Cryptorchidism/*complications/surgery', 'Humans', 'Kidney/*abnormalities', 'Leukemia, Lymphoid/*complications/drug therapy', 'Male', 'Pectoralis Muscles/*abnormalities']",1975/07/01 00:00,1975/07/01 00:01,['1975/07/01 00:00'],"['1975/07/01 00:00 [pubmed]', '1975/07/01 00:01 [medline]', '1975/07/01 00:00 [entrez]']",ppublish,J Pediatr. 1975 Jul;87(1):146-7. doi: 10.1016/s0022-3476(75)80095-3.,,IM,"['S0022-3476(75)80095-3 [pii]', '10.1016/s0022-3476(75)80095-3 [doi]']",,,,,,
239034,NLM,MEDLINE,19751106,20151119,1945-1954 (Print) 1945-1954 (Linking),42,3,1975 May-Jun,Dental treatment for the child with acute lymphocytic leukemia 1974.,191-3,"['Carey, J A', 'Chilcote, R R']","['Carey JA', 'Chilcote RR']",['eng'],['Journal Article'],United States,ASDC J Dent Child,ASDC journal of dentistry for children,0146172,"['0 (Alkylating Agents)', '0 (Antimetabolites, Antineoplastic)', '0 (Histamine H1 Antagonists)', '0 (Immunosuppressive Agents)', '0 (Phenothiazines)', '0 (Salicylates)', '5J49Q6B70F (Vincristine)', '8N3DW7272P (Cyclophosphamide)', 'VB0R961HZT (Prednisone)']","['Adolescent', 'Alkylating Agents/therapeutic use', 'Antimetabolites, Antineoplastic/therapeutic use', 'Blood Cell Count', 'Blood Platelets/drug effects', 'Child', 'Child, Preschool', 'Cyclophosphamide/therapeutic use', '*Dental Care', 'Erythrocyte Count', 'Histamine H1 Antagonists/pharmacology', 'Humans', 'Immunosuppressive Agents/therapeutic use', '*Leukemia, Lymphoid/drug therapy', 'Life Expectancy', 'Oral Hygiene', '*Pediatric Dentistry', 'Phenothiazines/pharmacology', 'Prednisone/therapeutic use', 'Salicylates/pharmacology', 'Vincristine/therapeutic use']",1975/05/01 00:00,1975/05/01 00:01,['1975/05/01 00:00'],"['1975/05/01 00:00 [pubmed]', '1975/05/01 00:01 [medline]', '1975/05/01 00:00 [entrez]']",ppublish,ASDC J Dent Child. 1975 May-Jun;42(3):191-3.,,IM,,,,,,,
238784,NLM,MEDLINE,19751105,20191021,0301-0538 (Print) 0301-0538 (Linking),49,2,1975 Aug,Analytical subcellular fractionation of human granulocytes with reference to the localization of vitamin B12-binding proteins.,171-82,"['Kane, S P', 'Peters, T J']","['Kane SP', 'Peters TJ']",['eng'],['Journal Article'],England,Clin Sci Mol Med,Clinical science and molecular medicine,0367540,"['0 (Blood Proteins)', '0 (Transcobalamins)']","['Blood Proteins/*isolation & purification', 'Cell Fractionation', 'Centrifugation, Density Gradient', 'Chromatography, Gel', 'Chromatography, Ion Exchange', 'Granulocytes/*analysis/metabolism', 'Humans', 'Hydrogen-Ion Concentration', 'Leukocytes/*analysis', 'Subcellular Fractions/analysis/metabolism', 'Transcobalamins/*isolation & purification']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",ppublish,Clin Sci Mol Med. 1975 Aug;49(2):171-82. doi: 10.1042/cs0490171.,,IM,['10.1042/cs0490171 [doi]'],1. A granulocyte-rich fraction was isolated from blood of a patient with chronic granulocytic leukaemia and from blood of a normal subject and the cells were disrupted in isotonic sucrose. The nuclei were removed by low-speed centrifugation and the post-nuclear supernatant was fractionated by centrifugation on sucrose density gradients. 2. The subcellular organelles in the gradients were detected with marker enzymes by the use of highly sensitive assay techniques. Similar results were obtained with granulocytes from both subjects. 3. Unsaturated vitamin B12-binding proteins were almost exclusively localized to the specific granules. Chromatographic analysis of these proteins showed them to have approximately equal proportions of transcobalamins I and III. Vitamin B12 assayed microbiologically could not be detected in the specific granule fractions.,,,,,
238736,NLM,MEDLINE,19751030,20061115,0008-5472 (Print) 0008-5472 (Linking),35,8,1975 Aug,Use of cationic disc electrophoresis near neutral pH in the evaluation of trace proteins in human plasma.,1991-5,"['Young, C W', 'Dessources, W', 'Hodas, S', 'Bittar, E S']","['Young CW', 'Dessources W', 'Hodas S', 'Bittar ES']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,['0 (Blood Proteins)'],"['Bacterial Infections/blood', 'Blood Protein Electrophoresis/methods', 'Blood Proteins/*analysis', 'Electrophoresis, Disc/methods', 'Fever/*blood', 'Hodgkin Disease/*blood', 'Humans', 'Hydrogen-Ion Concentration', 'Leukemia/blood', 'Lymphoma/blood']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",ppublish,Cancer Res. 1975 Aug;35(8):1991-5.,,IM,,"Cationic discontinuous electrophoresis can be carried out at pH 6.0 With excellent resolution in urea-containing acrylamide gels with potassium as the leading ion, 3-picoline as the trailing ion, and cacodylic acid as the buffer. This analytic technique has consistently demonstrated trace protein abnormalities in plasma or serum from febrile patients. It has made possible the detection of three protein bands that were obscured in similar electrophoretic assays at pH 3.8 A rough parallelism is found in the plasma (or serum) content of the five protein bands regardless of the apparent clinical cause of the febrile state.",,,,,
238735,NLM,MEDLINE,19751030,20131121,0008-5472 (Print) 0008-5472 (Linking),35,8,1975 Aug,Observations on trace proteins in plasma of febrile patients by cationic disc electrophoresis in acrylamide gel at pH 3.8.,1985-90,"['Young, C W', 'Hodas, S', 'Dessources, W', 'Korngold, L']","['Young CW', 'Hodas S', 'Dessources W', 'Korngold L']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (BCG Vaccine)', '0 (Blood Proteins)', '0 (Pyrogens)', '98600C0908 (Cycloheximide)']","['BCG Vaccine', 'Blood Protein Electrophoresis', 'Blood Proteins/*analysis', 'Cycloheximide/pharmacology', 'Electrophoresis, Disc', 'Fever/*blood', 'Hodgkin Disease/*blood', 'Humans', 'Hydrogen-Ion Concentration', 'Leukemia/blood', 'Lymphoma/blood', 'Mycobacterium bovis', 'Neoplasms/blood', 'Pyrogens/blood']",1975/08/01 00:00,1975/08/01 00:01,['1975/08/01 00:00'],"['1975/08/01 00:00 [pubmed]', '1975/08/01 00:01 [medline]', '1975/08/01 00:00 [entrez]']",ppublish,Cancer Res. 1975 Aug;35(8):1985-90.,,IM,,"Cationic disc electrophoresis at pH 3.5 in 6 M urea-containing acrylamide gels permits analysis of plasma and other body fluids for the presence of trace proteins with pI greater than or equal 5 and M.W. less than 60,000. These charge and size characteristics would include rabbit and human granulocytic pyrogen, human monocytic pyrogen and, by inference, other similar candidate pyrogenic proteins. Semiquantitation of the trace protein content can be achieved by densitometric scanning of gels stained with Amido schwarz. Duplicate analyses were performed on plasma samples from 133 individuals: normal, 15; afebrile advanced cancer, 18; afebrile Hodgkin's disease, 30; febrile Hodgkin's disease, 33; other febrile lymphoma, 13; febrile advanced cancer without infection, 12; and pyogenic fever, 12. Plasma from most of the febrile patients, particularly from febrile Hodgkin's disease patients, contained trace proteins not detectable in the afebrile individuals studied. In patients with Hodgkin's disease the quantity of trace proteins present in plasma correlated well with overall severity of Hodgkin's pyrexia, but not with spontaneous hr to hr fluctuations in the fever. Marked reduction in plasma levels of the trace proteins occurred with response to antitumor therapy. Elevated plasma levels of these proteins can be induced by intratumoral inoculation of Bacillus Calmette-Guerin. They appear concomitant with the febrile response.",,,,,
238676,NLM,MEDLINE,19751101,20071115,0547-6844 (Print) 0547-6844 (Linking),11,1,1975,Primary immunodeficiency and malignancy.,289-98,"['Kersey, J H', 'Spector, B D', 'Good, R A']","['Kersey JH', 'Spector BD', 'Good RA']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Birth Defects Orig Artic Ser,Birth defects original article series,0003403,,"['Agammaglobulinemia/complications', 'Animals', 'B-Lymphocytes/immunology', 'Cell Transformation, Neoplastic', 'Chromosome Aberrations', 'Graft vs Host Reaction', 'Humans', 'Immunologic Deficiency Syndromes/*complications', 'Leukemia Virus, Murine/immunology', 'Leukemia, Lymphoid/etiology', 'Lymphocyte Activation', 'Lymphocyte Culture Test, Mixed', 'Lymphocyte Depletion', 'Lymphoma/etiology', 'Mice', 'Neoplasms/*etiology', 'Simian virus 40/immunology', 'T-Lymphocytes/immunology', 'Wiskott-Aldrich Syndrome/etiology']",1975/01/01 00:00,1975/01/01 00:01,['1975/01/01 00:00'],"['1975/01/01 00:00 [pubmed]', '1975/01/01 00:01 [medline]', '1975/01/01 00:00 [entrez]']",ppublish,Birth Defects Orig Artic Ser. 1975;11(1):289-98.,,IM,,"Evidence indicating an essential relationship between immunologic deviation and cancer has accumulated rapidly over the past 15 years. Following a brief review of the enormous body of literature linking experimental immunodeficiency and cancer, this discussion will center on humans with primary immunodeficiency disorders and the inordinate number of malignancies which develop in these patients.",123,,,,
