PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,PMC,TT,OID,GR,OAB,OABL,OTO,OT,GN
7371024,NLM,MEDLINE,19800726,20061115,0008-5472 (Print) 0008-5472 (Linking),40,6,1980 Jun,Comparison between the cellular proteins of hairy cell leukemia and the leukemic phase of other lymphoproliferative diseases.,1907-14,"Cellular proteins from malignant cells of the leukemic phase of hairy cell leukemia and other lymphoproliferative diseases characterized by immunological markers were evaluated by sodium dodecyl sulfate gradient-polyacrylamide gel electrophoresis. The protein patterns from eight patients with hairy cell leukemia were essentially identical. The protein patterns from eight patients with chronic lymphocytic leukemia, seven patients with acute lymphocytic leukemia, and four patients with poorly differentiated lymphocytic lymphoma were examined and did not demonstrate a consistent pattern within each disease. The protein patterns of one patient each with T-cell malignant lymphoma, lymphoblastic lymphoma, or acute monocytic leukemia were also examined. The protein pattern for hairy cell leukemia is distinctly different from that of all the other diseases studied; differences were distinct even within and between immunological subtypes.","['Golomb, H M', 'Nathans, A H', 'Dawson, G']","['Golomb HM', 'Nathans AH', 'Dawson G']",['eng'],"['Comparative Study', 'Journal Article']",United States,Cancer Res,Cancer research,2984705R,['0 (Neoplasm Proteins)'],IM,"['Electrophoresis, Polyacrylamide Gel', 'Humans', 'Leukemia/*metabolism', 'Leukemia, Hairy Cell/*metabolism', 'Lymphoproliferative Disorders/*metabolism', 'Molecular Weight', 'Neoplasm Proteins/*metabolism']",1980/06/01 00:00,1980/06/01 00:01,['1980/06/01 00:00'],"['1980/06/01 00:00 [pubmed]', '1980/06/01 00:01 [medline]', '1980/06/01 00:00 [entrez]']",,ppublish,Cancer Res. 1980 Jun;40(6):1907-14.,,,,,,,,,
7370990,NLM,MEDLINE,19800712,20131121,0008-5472 (Print) 0008-5472 (Linking),40,5,1980 May,Enhancement of 1-beta-D-arabinofuranosylcytosine accumulation within L1210 cells and increased cytotoxicity following thymidine exposure.,1525-31,,"['Grant, S', 'Lehman, C', 'Cadman, E']","['Grant S', 'Lehman C', 'Cadman E']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (DNA, Neoplasm)', '0 (Deoxyribonucleotides)', '0 (RNA, Neoplasm)', '04079A1RDZ (Cytarabine)', '0W860991D6 (Deoxycytidine)', '13191-15-6 (Arabinofuranosylcytosine Triphosphate)', 'VC2W18DGKR (Thymidine)']",IM,"['Animals', 'Arabinofuranosylcytosine Triphosphate/metabolism', 'Cytarabine/administration & dosage/*metabolism', 'DNA, Neoplasm/biosynthesis', 'Deoxycytidine/metabolism', 'Deoxyribonucleotides/metabolism', 'Leukemia L1210/drug therapy/*metabolism', 'Mice', 'RNA, Neoplasm/biosynthesis', 'Thymidine/*administration & dosage', 'Time Factors']",1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",,ppublish,Cancer Res. 1980 May;40(5):1525-31.,,,,,,,,,
7370988,NLM,MEDLINE,19800712,20131121,0008-5472 (Print) 0008-5472 (Linking),40,5,1980 May,Circadian bioperiodic response of mice bearing advanced L1210 leukemia to combination therapy with adriamycin and cyclophosphamide.,1511-5,,"['Scheving, L E', 'Burns, E R', 'Pauly, J E', 'Halberg, F']","['Scheving LE', 'Burns ER', 'Pauly JE', 'Halberg F']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['80168379AG (Doxorubicin)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Animals', '*Circadian Rhythm', 'Cyclophosphamide/*administration & dosage', 'Doxorubicin/*administration & dosage', 'Drug Administration Schedule', 'Drug Therapy, Combination', 'Leukemia L1210/*drug therapy', 'Male', 'Mice']",1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",,ppublish,Cancer Res. 1980 May;40(5):1511-5.,,,,,,,,,
7370984,NLM,MEDLINE,19800712,20131121,0008-5472 (Print) 0008-5472 (Linking),40,5,1980 May,Thioguanine-induced S and G2 blocks and their significance to the mechanism of cytotoxicity.,1458-62,"The delayed cytotoxic effect of 6-thioguanine (TG) was studied using L1210 mouse leukemic cells in culture. The cell cycle distribution of a population treated continuously with 10(-5) M TG was compared to that of control cells using flow cytometric analysis. The TG-treated cells had an increase in the fraction of the population in G2-M, a decrease in G1, and a constant level in S phase. However, the [methyl-3H]thymidine-labeling index decreased dramatically during TG treatment. Thus, it appeared that some cells were arrested in S phase and that G1 cells did not enter S phase, due to failure to synthesize DNA. To examine the importance of the G2 and S cell progression blocks, cells were exposed to a lethal treatment of 10(-5) M TG for 12 hr and returned to normal medium. Under these conditions, the fraction of the population in both S and G1 decreased, and nearly one-half of the cells accumulated in G2 by 60 hr after TG addition, compared to a G2 fraction of less than one-tenth for the control cells. These results showed that the delayed cytotoxic effect of TG was associated with a cell progression block in the second G2 phase after TG addition, whereas the retention of cells in S phase appeared to be due to readily reversible secondary effects of TG.","['Wotring, L L', 'Roti Roti, J L']","['Wotring LL', 'Roti Roti JL']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer Res,Cancer research,2984705R,"['0 (DNA, Neoplasm)', 'FTK8U1GZNX (Thioguanine)']",IM,"['Animals', 'Cell Cycle/*drug effects', 'Cell Survival/*drug effects', 'Cells, Cultured', 'DNA Replication/drug effects', 'DNA, Neoplasm/biosynthesis', 'Interphase/*drug effects', 'Leukemia L1210', 'Mice', 'Thioguanine/*pharmacology']",1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",,ppublish,Cancer Res. 1980 May;40(5):1458-62.,,,,,,,,,
7370163,NLM,MEDLINE,19800722,20190515,0007-0920 (Print) 0007-0920 (Linking),41,2,1980 Feb,Induction of antibody response to liposome-associated Gross-virus cell-surface antigen (GCSAa).,236-42,"The immunogenicity of a soluble fraction containing Gross-virus-associated cell-surface antigen (GCSAa) obtained from (C58NT)D lymphoma cells either by detergent (NP40) solubilization or by 3M KCl extraction, was studied in syngeneic W/Fu rats. Rats immunized by 2 s.c. injections of soluble antigen or soluble antigen mixed with empty liposomes and emulsified in complete Freund's adjuvant (CFA) failed to produce significant levels of cytotoxic antibodies to GCSAa. On the other hand, rats similarly immunized by negatively charged liposomes containing NP40-solubilized GCSAa, and emulsified in CFA, developed high and persistent levels of cytotoxic antibodies, and their response could even mimic that induced by viable (C58NT)D cells. A similar response could also be obtained in rats immunized with liposome-associated NP40-solubilized GCSAa, but without CFA. Rats immunized by comparable amounts of liposome-assocated 3M KCl-extracted GCSAa developed only low levels of cytotoxic antibodies, and their response was of shorter duration. These results strongly suggest that inclusion into liposomes of a solubilized proteic tumour-associated cell-surface antigen can provide an immunogen as potent as viable tumour cells in inducing an antibody response, and that the solubilization method may be critical.","['Gerlier, D', 'Sakai, F', 'Dore, J F']","['Gerlier D', 'Sakai F', 'Dore JF']",['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,"['0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Antigens, Viral)', '0 (Liposomes)']",IM,"['AKR murine leukemia virus/*immunology', 'Animals', '*Antibody Formation', 'Antigens, Neoplasm/immunology', 'Antigens, Surface/*immunology', 'Antigens, Viral/*immunology', 'Cytotoxicity, Immunologic', 'Immunization', 'Leukemia, Experimental/immunology', 'Liposomes/immunology', 'Lymphoma/immunology', 'Male', 'Mice', 'Rats']",1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",['10.1038/bjc.1980.35 [doi]'],ppublish,Br J Cancer. 1980 Feb;41(2):236-42. doi: 10.1038/bjc.1980.35.,PMC2010207,,,,,,,,
7370162,NLM,MEDLINE,19800722,20190515,0007-0920 (Print) 0007-0920 (Linking),41,2,1980 Feb,Association of gross virus-associated cell-surface antigen with liposomes.,227-35,"Gross Cell-Surface Antigen (GCSAa) was obtained from W/Fu (C58NT)D lymphoma cells by Nonidet P40(NP40) or 3M KCl extraction and further purified by Sephadex G200 filtration. GCSAa was associated with lipids (dipalmitoylphosphatidycholine, cholesterol and dicetylphosphate, in molar ratios of 7:2:1) to form multilamellar liposomes. The amount of protein associated with liposomes was found to be proportional to the protein concentration of the sensitizing cellular extract and to the amount of phospholipids used and, under defined conditions, 22-55% of the protein of the cellular extract could be associated with liposomes. Analysis of disrupted sensitized liposomes showed that the GCSAa-specific activity of the liposome-associated proteins was quite similar to that of the proteins of the sensitizing cellular extract. Ultracentrifugation of disrupted liposomes showed that about 75% of the liposome-associated GCSAa activity was firmly associated with lipids and that little GCSAa was trapped within aqueous compartments between lipidic lamellae. 1.8--8.0% of the liposome-associated GCSAa was expressed at the liposome surface. No striking differences in degree of GCSAa association were found between liposomes sensitized by NP40 or by 3M KCl extracts. Storage experiments at +4 degrees C showed that GCSAa-sensitized liposomes were fairly stable.","['Sakai, F', 'Gerlier, D', 'Dore, J F']","['Sakai F', 'Gerlier D', 'Dore JF']",['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,"['0 (Antigens, Neoplasm)', '0 (Antigens, Surface)', '0 (Antigens, Viral)', '0 (Liposomes)', '0 (Phospholipids)', '0 (Proteins)']",IM,"['AKR murine leukemia virus/*immunology', 'Animals', 'Antigens, Neoplasm/analysis', 'Antigens, Surface/*analysis', 'Antigens, Viral/*analysis', 'Leukemia, Experimental/immunology', 'Liposomes/*immunology', 'Lymphoma/immunology', 'Mice', 'Microscopy, Electron', 'Phospholipids/analysis', 'Proteins/analysis', 'Rats']",1980/02/01 00:00,1980/02/01 00:01,['1980/02/01 00:00'],"['1980/02/01 00:00 [pubmed]', '1980/02/01 00:01 [medline]', '1980/02/01 00:00 [entrez]']",['10.1038/bjc.1980.34 [doi]'],ppublish,Br J Cancer. 1980 Feb;41(2):227-35. doi: 10.1038/bjc.1980.34.,PMC2010185,,,,,,,,
7370023,NLM,MEDLINE,19800616,20190612,0006-291X (Print) 0006-291X (Linking),92,4,1980 Feb 27,POLY-ADP-ribosylation of nuclear proteins in differentiating Friend cells.,1110-6,,"['Zlatanova, J S', 'Swetly, P']","['Zlatanova JS', 'Swetly P']",['eng'],['Journal Article'],United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (Nucleoproteins)', '0 (Nucleoside Diphosphate Sugars)', '26656-46-2 (Poly Adenosine Diphosphate Ribose)']",IM,"['Animals', 'Cell Differentiation', 'Cell Line', 'Cell Nucleus/*metabolism', 'Leukemia, Experimental', 'Mice', 'Nucleoproteins/*metabolism', 'Nucleoside Diphosphate Sugars/*metabolism', 'Poly Adenosine Diphosphate Ribose/*metabolism']",1980/02/27 00:00,1980/02/27 00:01,['1980/02/27 00:00'],"['1980/02/27 00:00 [pubmed]', '1980/02/27 00:01 [medline]', '1980/02/27 00:00 [entrez]']","['0006-291X(80)90401-5 [pii]', '10.1016/0006-291x(80)90401-5 [doi]']",ppublish,Biochem Biophys Res Commun. 1980 Feb 27;92(4):1110-6. doi: 10.1016/0006-291x(80)90401-5.,,,,,,,,,
7369610,NLM,MEDLINE,19800627,20061115,0002-9645 (Print) 0002-9645 (Linking),41,3,1980 Mar,Inhibition of lymphocyte blastogenesis by sera from cows with lymphoma.,372-6,"The sera from cows with lymphoma inhibit the blastogenesis of normal lymphocytes. The inhibitory sera were partially characterized. Twenty of 34 sera from cows with lymphoma caused inhibition, whereas 3 of 25 sera from healthy animals were inhibitory. Sera from 15 cows with various inflammatory conditions did not cause inhibition. Seventy-four cows were tested for responsiveness to phytohemagglutinin, and of this group, the stimulation indices of 25 animals which had antibody to the bovine leukemia virus did not differ from the remainder of the group. The inhibitory substance: (a) was heat stable at 56 C for 30 minutes, (b) was not overcome by the addition of phytohemagglutinin, (c) was active in a manner that was proportional to the concentration of serum in the culture media, (d) was not lymphocytotoxic at a concentration which was profoundly inhibitory to blastogenesis, (e) was found in the first peak eluted from a Sephadex G-200 column, (f) was nonspecifically active because it inhibited the blastogenesis of a panel of lymphocytes from healthy animals, (g) was present in 59% of cows with lymphoma in the terminal stages of disease, (h) was rarely present in healthy cows or cows with inflammatory conditions, and (i) was not associated with bovine leukemia virus infection in the absence of tumor development.","['Jacobs, R M', 'Valli, V E', 'Wilkie, B N']","['Jacobs RM', 'Valli VE', 'Wilkie BN']",['eng'],"['Comparative Study', 'Journal Article']",United States,Am J Vet Res,American journal of veterinary research,0375011,['0 (Immune Sera)'],IM,"['Animals', 'Cattle/*immunology', 'Cattle Diseases/*immunology', 'Immune Sera/analysis/*immunology', '*Lymphocyte Activation', 'Lymphoma/immunology/*veterinary']",1980/03/01 00:00,1980/03/01 00:01,['1980/03/01 00:00'],"['1980/03/01 00:00 [pubmed]', '1980/03/01 00:01 [medline]', '1980/03/01 00:00 [entrez]']",,ppublish,Am J Vet Res. 1980 Mar;41(3):372-6.,,,,,,,,,
7368656,NLM,MEDLINE,19800625,20061115,0507-3758 (Print) 0507-3758 (Linking),26,3,1980,[Nuclear chromatin proteins of hematopoietic cells normally and in leukemia in rats].,40-4,"By methods of analytical electrophoresis nuclear chromatin proteins of normal and leukaemic hemopoietic rat cells were studied. There were revealed 1--2 extra bands in the histones extracted from chromatin of leukaemic cells. These proteins appear to be identical to histones of H10 type. The majority of nonhistone proteins of nuclear chromatin from normal and leukaemic hemopoietic cells show similar electrophoretic characteristics, whereas there were also found components typical for chromatin of only normal or leukaemic hemopoietic cells.","['Shliakhovenko, V A', 'Negrei, G Z']","['Shliakhovenko VA', 'Negrei GZ']",['rus'],"['Comparative Study', 'English Abstract', 'Journal Article']",Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,"['0 (Chromatin)', '0 (Chromosomal Proteins, Non-Histone)', '0 (Nucleoproteins)']",IM,"['Animals', 'Cell Nucleus/metabolism', 'Chromatin/*metabolism', 'Chromosomal Proteins, Non-Histone/analysis', 'Electrophoresis, Polyacrylamide Gel', 'Hematopoietic Stem Cells/*metabolism', 'Leukemia, Experimental/*metabolism', 'Neoplasm Transplantation', 'Nucleoproteins/*analysis', 'Rats']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Vopr Onkol. 1980;26(3):40-4.,,Belki iadernogo khromatina krovetvornykh kletok v norme i pri leikoze u krys.,,,,,,,
7368291,NLM,MEDLINE,19800627,20091119,0041-1345 (Print) 0041-1345 (Linking),12,1,1980 Mar,"Serologic and immunochemical studies of the cell membrane alloantigens of K36, an AKR spontaneous leukemia.",29-31,,"['Schmidt, W', 'Festenstein, H', 'Atfield, G']","['Schmidt W', 'Festenstein H', 'Atfield G']",['eng'],['Journal Article'],United States,Transplant Proc,Transplantation proceedings,0243532,"['0 (H-2 Antigens)', '0 (Immune Sera)', '0 (Isoantigens)']",IM,"['AKR murine leukemia virus/immunology', 'Absorption', 'Animals', 'Cell Membrane/immunology', 'Chemical Precipitation', 'Cytotoxicity, Immunologic', 'H-2 Antigens', 'Immune Sera/pharmacology', '*Isoantigens', 'Leukemia, Experimental/*immunology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C3H', 'Mice, Inbred C57BL', 'Molecular Weight', 'Protein Biosynthesis']",1980/03/01 00:00,1980/03/01 00:01,['1980/03/01 00:00'],"['1980/03/01 00:00 [pubmed]', '1980/03/01 00:01 [medline]', '1980/03/01 00:00 [entrez]']",,ppublish,Transplant Proc. 1980 Mar;12(1):29-31.,,,,,,,,,
7368290,NLM,MEDLINE,19800627,20031114,0041-1345 (Print) 0041-1345 (Linking),12,1,1980 Mar,"Biologic effects of the altered MHS profile on the K36 tumor, a spontaneous leukemia of AKR.",25-8,,"['Festenstein, H', 'Schmidt, W', 'Testorelli, C', 'Marelli, O', 'Simpson, S']","['Festenstein H', 'Schmidt W', 'Testorelli C', 'Marelli O', 'Simpson S']",['eng'],['Journal Article'],United States,Transplant Proc,Transplantation proceedings,0243532,['0 (H-2 Antigens)'],IM,"['AKR murine leukemia virus/immunology', 'Animals', 'Cytotoxicity, Immunologic', 'H-2 Antigens', 'Leukemia, Experimental/*immunology', '*Major Histocompatibility Complex', 'Mice']",1980/03/01 00:00,1980/03/01 00:01,['1980/03/01 00:00'],"['1980/03/01 00:00 [pubmed]', '1980/03/01 00:01 [medline]', '1980/03/01 00:00 [entrez]']",,ppublish,Transplant Proc. 1980 Mar;12(1):25-8.,,,,,,,,,
