PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,PMC,TT,AD
6995731,NLM,MEDLINE,19801024,20190817,0025-7125 (Print) 0025-7125 (Linking),64,4,1980 Jul,The chronic leukemias.,705-27,"Chronic granulocytic leukemia, chronic lymphocytic leukemia and its variants, and hairy cell leukemia are characterized by prominent organ infiltration and marrow replacement, with a course consisting of years. Although treatment is effective in ameliorating symptoms, little has been gained in terms of increased survival.","['Liepman, M K']",['Liepman MK'],['eng'],,"['Journal Article', 'Review']",United States,Med Clin North Am,The Medical clinics of North America,2985236R,['G1LN9045DK (Busulfan)'],IM,"['Adult', 'Busulfan/therapeutic use', 'Chromosomes, Human, 21-22 and Y', 'Chronic Disease', 'Humans', 'Leukemia/*diagnosis', 'Leukemia, Hairy Cell/diagnosis/therapy', 'Leukemia, Lymphoid/*diagnosis/etiology/pathology', 'Leukemia, Myeloid/*diagnosis/drug therapy', 'Middle Aged', 'Prognosis', 'Splenectomy', 'T-Lymphocytes']",1980/07/01 00:00,1980/07/01 00:01,['1980/07/01 00:00'],"['1980/07/01 00:00 [pubmed]', '1980/07/01 00:01 [medline]', '1980/07/01 00:00 [entrez]']","['S0025-7125(16)31589-9 [pii]', '10.1016/s0025-7125(16)31589-9 [doi]']",ppublish,Med Clin North Am. 1980 Jul;64(4):705-27. doi: 10.1016/s0025-7125(16)31589-9.,139,,,
6995730,NLM,MEDLINE,19801024,20190817,0025-7125 (Print) 0025-7125 (Linking),64,4,1980 Jul,Adult acute nonlymphocytic leukemias.,683-704,"For the first two decades, leukemic chemotherapy had little impact on survival. In the past 10 years, however, remission induction therapy has generated complete remissions which last approximately one year in about half to three fourths of those treated, with a seventh in some series alive at 5 years.","['Dabich, L']",['Dabich L'],['eng'],,"['Journal Article', 'Review']",United States,Med Clin North Am,The Medical clinics of North America,2985236R,"['04079A1RDZ (Cytarabine)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Acute Disease', 'Aged', 'Anemia/therapy', 'Anemia, Aplastic/blood', 'Anemia, Sideroblastic/blood', 'Blood Transfusion', 'Bone Marrow Transplantation', 'Cytarabine/therapeutic use', 'Daunorubicin/therapeutic use', 'Drug Resistance', 'Female', 'Hemorrhage/therapy', 'Humans', 'Immunotherapy', 'Leukemia/*classification/drug therapy', 'Leukemia, Myeloid/blood', 'Leukemia, Myeloid, Acute/classification', 'Male', 'Middle Aged', 'Platelet Transfusion', 'Spinal Cord/abnormalities', 'Syndrome']",1980/07/01 00:00,1980/07/01 00:01,['1980/07/01 00:00'],"['1980/07/01 00:00 [pubmed]', '1980/07/01 00:01 [medline]', '1980/07/01 00:00 [entrez]']","['S0025-7125(16)31588-7 [pii]', '10.1016/s0025-7125(16)31588-7 [doi]']",ppublish,Med Clin North Am. 1980 Jul;64(4):683-704. doi: 10.1016/s0025-7125(16)31588-7.,132,,,
6995729,NLM,MEDLINE,19801024,20190817,0025-7125 (Print) 0025-7125 (Linking),64,4,1980 Jul,Polycythemia vera and agnogenic myeloid metaplasia.,667-81,Age complications bring these patients to primary physicians more frequently than would be expected from incidence or prevalence statistics alone. Therapy is symptomatic. Termination in acute leukemia occurs in both conditions and the risk may be increased by radiation or myelosuppressive drugs. Careful management can prolong survival in polycythemia vera and improve the quality of life in both conditions.,"['Reed, R E']",['Reed RE'],['eng'],,"['Journal Article', 'Review']",United States,Med Clin North Am,The Medical clinics of North America,2985236R,"['0 (Alkylating Agents)', '0 (Androgens)']",IM,"['Alkylating Agents/therapeutic use', 'Androgens/therapeutic use', 'Bloodletting', 'Erythrocyte Volume', 'Female', 'Hematocrit', 'Hematopoiesis', 'Humans', 'Polycythemia Vera/*diagnosis/therapy', 'Primary Myelofibrosis/*diagnosis/drug therapy/therapy', 'Prognosis', 'Splenectomy', 'Splenomegaly/diagnosis']",1980/07/01 00:00,1980/07/01 00:01,['1980/07/01 00:00'],"['1980/07/01 00:00 [pubmed]', '1980/07/01 00:01 [medline]', '1980/07/01 00:00 [entrez]']","['S0025-7125(16)31587-5 [pii]', '10.1016/s0025-7125(16)31587-5 [doi]']",ppublish,Med Clin North Am. 1980 Jul;64(4):667-81. doi: 10.1016/s0025-7125(16)31587-5.,36,,,
6995561,NLM,MEDLINE,19801021,20061115,0022-1317 (Print) 0022-1317 (Linking),48,Pt 2,1980 Jun,Physicochemical characterization and specificity of the murine leukaemia virus Pr65gag proteolytic factor.,329-40,"The Pr65gag proteolytic factor obtained from Moloney (MoLV) or Rauscher (RLV) leukaemia virus has been characterized. We found that it was present in small amounts in virions and was extremely unstable. Although it eluted at the trailing edge of p12 on Sephadex G-75 columns, it could clearly be separated from p12 on DEAE-Sephadex A-50M columns, making it unlikely that the factor is p12 or any other major murine leukaemia virus (MuLV) protein. This fact also distinguishes the murine factor from the avian tumour viruses and is stable to column purification methods (von der Helm, 1977; Dittmar & Moelling, 1978). We further observed that: (i) the murine proteolytic factor had an estimated mol. wt. of 20,000 to 22,000, relative to MuLV p12, which eluted as a dimer on Sephadex G-75 columns in the presence of 0.1% NP-40; and (ii) in vitro cleavage of an iodinated Pr65gag-rich, p30-deficient substrate yielded a clear increase in both p30 and p12, which suggests that the in vitro cleavage of Pr65gag is similar to its processing in vivo.","['Yoshinaka, Y', 'Luftig, R B']","['Yoshinaka Y', 'Luftig RB']",['eng'],,"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,J Gen Virol,The Journal of general virology,0077340,"['0 (Protein Precursors)', '0 (Viral Proteins)', 'EC 3.4.- (Peptide Hydrolases)']",IM,"['Molecular Weight', 'Moloney murine leukemia virus/*enzymology', 'Peptide Hydrolases/analysis/isolation & purification/*metabolism', 'Protein Precursors/metabolism', 'Rauscher Virus/*enzymology', 'Substrate Specificity', 'Viral Proteins/metabolism', 'Virion/enzymology']",1980/06/01 00:00,1980/06/01 00:01,['1980/06/01 00:00'],"['1980/06/01 00:00 [pubmed]', '1980/06/01 00:01 [medline]', '1980/06/01 00:00 [entrez]']",['10.1099/0022-1317-48-2-329 [doi]'],ppublish,J Gen Virol. 1980 Jun;48(Pt 2):329-40. doi: 10.1099/0022-1317-48-2-329.,,,,
6995555,NLM,MEDLINE,19801027,20190508,0022-1007 (Print) 0022-1007 (Linking),152,2,1980 Aug 1,Analysis of rat hemopoietic cells on the fluorescence-activated cell sorter. II. Isolation of terminal deoxynucleotidyl transferase-positive cells.,438-46,"A method is described by which highly enriched populations of viable terminal deoxynucleotidyl transferase-positive (TdT+) cells can be isolated from rat bone marrow by use of the fluorescence-activated cell sorter. Such cells have been postulated to be progenitors of thymocytes and, possibly, of B lymphocytes, and may serve as the targets of neoplastic transformation in acute lymphoblastic leukemia. The separation procedure is based on differences in relative low-angle light scatter and relative fluorescence intensity for Thy-1 antigen between TdT+ cells and other lymphohemopoietic cell populations in bone marrow. Simultaneous sorting of bone marrow cells according to these two parameters resulted in a mean 87% purification of TdT+ cells. The morphological characteristics of the isolated TdT+ cells are described at the light and electron miscroscopic levels.","['Goldschneider, I', 'Metcalf, D', 'Mandel, T', 'Bollum, F J']","['Goldschneider I', 'Metcalf D', 'Mandel T', 'Bollum FJ']",['eng'],,"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Exp Med,The Journal of experimental medicine,2985109R,"['EC 2.7.7.- (DNA Nucleotidyltransferases)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",IM,"['Animals', 'Cell Separation', 'Cell Transformation, Neoplastic', 'DNA Nucleotidylexotransferase/*analysis', 'DNA Nucleotidyltransferases/*analysis', 'Female', 'Fluorescent Antibody Technique', 'Hematopoietic Stem Cells/cytology/*enzymology', 'Leukemia, Lymphoid/enzymology', 'Lymphocytes/cytology', 'Male', 'Rats']",1980/08/01 00:00,1980/08/01 00:01,['1980/08/01 00:00'],"['1980/08/01 00:00 [pubmed]', '1980/08/01 00:01 [medline]', '1980/08/01 00:00 [entrez]']",['10.1084/jem.152.2.438 [doi]'],ppublish,J Exp Med. 1980 Aug 1;152(2):438-46. doi: 10.1084/jem.152.2.438.,,PMC2185952,,
6995548,NLM,MEDLINE,19801024,20071115,0025-7850 (Print) 0025-7850 (Linking),11,1,1980,Stimulation of phagocytic activity of neutrophilic granulocytes by sera of patients with solid tumors.,49-63,"The effect of serum of patients with solid tumors on the phagocytic activity of normal neutrophilic granulocytes was investigated. The largest groups of tumors studied were carcinoma of colon/rectum, sarcomas and melanomas. Sera from all three groups of patients were found to have highly significant (p < 0.001) stimulatory effects on granulocyte phagocytic activity. These findings contrast with previously reported depression of granulocyte phagocytic activity associated with various forms of leukemia and lymphomas.","['Klostergaard, J', 'Evans, J T', 'Fonte, G C', 'Lane, W W', 'Laor, Y', 'Klein, E', 'Holtermann, O A']","['Klostergaard J', 'Evans JT', 'Fonte GC', 'Lane WW', 'Laor Y', 'Klein E', 'Holtermann OA']",['eng'],,"['Clinical Trial', 'Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Med,Journal of medicine,7505566,,IM,"['Clinical Trials as Topic', 'Colonic Neoplasms/blood', 'Humans', 'Melanoma/blood', 'Neoplasms/*blood', 'Neutrophils/*physiology', '*Phagocytosis', 'Rectal Neoplasms/blood', 'Sarcoma/blood']",1980/01/01 00:00,1980/01/01 00:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '1980/01/01 00:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,J Med. 1980;11(1):49-63.,,,,
6995384,NLM,MEDLINE,19801027,20051117,0020-8167 (Print) 0020-8167 (Linking),20,2,1980 Summer,Animal models for the study of uveal melanoma.,143-60,,"['Albert, D M', 'Shadduck, J A', 'Liu, H S', 'Sunderman, F W Jr', 'Wagoner, M D', 'Dohlman, H G', 'Papale, J J']","['Albert DM', 'Shadduck JA', 'Liu HS', 'Sunderman FW Jr', 'Wagoner MD', 'Dohlman HG', 'Papale JJ']",['eng'],,"['Journal Article', 'Review']",United States,Int Ophthalmol Clin,International ophthalmology clinics,0374731,,IM,"['Animals', 'Cats', 'Choroid Neoplasms/pathology', 'Cricetinae', 'Disease Models, Animal', 'Eye Neoplasms/*pathology', 'Humans', 'Leukemia/pathology', 'Male', 'Melanoma/*pathology', 'Mesocricetus', 'Mice', 'Mice, Nude', 'Neoplasm Metastasis', 'Neoplasm Transplantation', 'Neoplasms, Experimental/pathology', 'Oncogenic Viruses', 'Rabbits', 'Sarcoma/pathology', 'Transplantation, Heterologous', 'Uveal Diseases/*pathology']",1980/01/01 00:00,2001/03/28 10:01,['1980/01/01 00:00'],"['1980/01/01 00:00 [pubmed]', '2001/03/28 10:01 [medline]', '1980/01/01 00:00 [entrez]']",,ppublish,Int Ophthalmol Clin. 1980 Summer;20(2):143-60.,38,,,
6995269,NLM,MEDLINE,19801024,20190722,0046-8177 (Print) 0046-8177 (Linking),11,3,1980 May,Monocytic leukemias.,215-27,"The monocytic leukemias may be subdivided into acute monocytic leukemia, acute myelomonocytic leukemia, and subacute and chronic myelomonocytic leukemia. The clinical features of acute monocytic and acute myelomonocytic leukemias are similar and are manifestations of bone marrow failure. Gingival hypertrophy and skin infiltration are more frequent in acute monocytic leukemia. Cytomorphologically the blast cells in acute monocytic leukemia may be undifferentiated or differentiated, whereas in the acute myelomonocytic variety there are mixed populations of monocytic and myeloblastic cells. Cytochemical characteristics include strongly positive reactions for nonspecific esterase, inhibited by fluoride. The functional characteristics of acute monocytic and acute myelomonocytic cells resemble those of monocytes and include glass adherence and phagocytoses, the presence of Fc receptors for IgG and C'3, and the production of colony stimulating activity. Subacute and chronic myelomonocytic leukemias are insidious and slowly progressive diseases characterized by anemia and peripheral blood monocytosis. Atypical monocytes called paramyeloid cells are characteristic. The drugs used in the treatment of acute monocytic and acute myelomonocytic leukemias include cytosine arabinoside, the anthracyclines, and VP 16-213. Drug therapy in subacute and chronic myelomonocytic leukemias is not usually indicated, although VP 16-213 has been claimed to be effective.","['Shaw, M T']",['Shaw MT'],['eng'],,"['Journal Article', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Hum Pathol,Human pathology,9421547,"['0 (Receptors, Immunologic)']",IM,"['Adult', 'Cells, Cultured', 'Child', 'Colony-Forming Units Assay', 'Humans', 'Leukemia, Myeloid/classification/immunology/*pathology/therapy', 'Leukocytes/*pathology', 'Monocytes/pathology', 'Receptors, Immunologic/analysis']",1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']","['S0046-8177(80)80003-7 [pii]', '10.1016/s0046-8177(80)80003-7 [doi]']",ppublish,Hum Pathol. 1980 May;11(3):215-27. doi: 10.1016/s0046-8177(80)80003-7.,67,,,
6995006,NLM,MEDLINE,19801021,20041117,0010-6178 (Print) 0010-6178 (Linking),44,7,1980 Jul,Acute adult myelocytic leukemia: dilemmas in its management.,421-3,,"['Duffy, T P']",['Duffy TP'],['eng'],,['Journal Article'],United States,Conn Med,Connecticut medicine,0372745,,IM,"['Adult', 'Bone Marrow Transplantation', 'Drug Therapy, Combination', 'Forecasting', 'Humans', 'Immunotherapy', 'Leukemia, Myeloid/drug therapy/surgery/*therapy', 'Transplantation, Homologous']",1980/07/01 00:00,1980/07/01 00:01,['1980/07/01 00:00'],"['1980/07/01 00:00 [pubmed]', '1980/07/01 00:01 [medline]', '1980/07/01 00:00 [entrez]']",,ppublish,Conn Med. 1980 Jul;44(7):421-3.,,,,
6994868,NLM,MEDLINE,19801027,20190620,0008-543X (Print) 0008-543X (Linking),46,3,1980 Aug 1,Radiotherapy (2500 rad) for testicular leukemia: local control and subsequent clinical events: a Southwest Oncology Group study.,508-15,"The effectiveness of radiotherapy, 2500 rad over two weeks, in treating leukemic infiltrates of the testicles was studied in 38 boys who met the requirements for tissue conformation of testicular involvement and examination of the bone marrow. The study group was heterogeneous with respect to specific histology and prior therapy. Complete regression of testicular infiltrates was confirmed by repeated biopsy examinations of 32 of 33 patients undergoing the procedure. The single treatment failure occurred in a boy with acute myelogenous leukemia. In all other patients, local disease control following radiotherapy persisted throuthout the remainder of the clinical course. Three of 5 children, however, showed evidence of reseeding of the testicle as a part of the relapse process at post-mortem examination. Statistical analysis of data from the 35 patients with acute lymphocytic leukemia showed the subsequent course of the disease with respect to next relapse, involving either bone marrow (BM) or the central nervous system (CNS), to be dependent on the acute leukemia prognostic group, as determined by age and peripheral white blood cell count (WBC) at the time of diagnosis, and timing of extramedullary disease (EMD). Patients with poor prognosis at the time of diagnosis and EMD afterward had a 3.8 times greater risk of a subsequent BM or CNS relapse than did patients with good or average prognosis and no EMD at any time (P = 0.07). Of the candidate prognostic factors examined with repect to survival, only the number of prior BM relapses was of statistical significance (P = 0.044). Children with two or more prior BM relapses had the worst prognosis for survival from testicular relapse, with a death risk of 3.6 times greater per unit of time than that of children with no or one prior BM relapse. Protective BM and CNS rescue therapy was recommended for those otherwise in complete remission (CR) at the time of testicular relapse. The median times to next relapse for patients receiving both BM and CNS recue therapy and for patients given CNS recue only were 42+ and seven weeks, respectively ( P = 0.09). The type of rescue received did not appear to affect survival time following testicular CR.","['Sullivan, M P', 'Perez, C A', 'Herson, J', 'Silva-Sousa, M', 'Land, V', 'Dyment, P G', 'Chan, R', 'Ayala, A G']","['Sullivan MP', 'Perez CA', 'Herson J', 'Silva-Sousa M', 'Land V', 'Dyment PG', 'Chan R', 'Ayala AG']",['eng'],,"['Clinical Trial', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Cancer,Cancer,0374236,,IM,"['Adolescent', 'Age Factors', 'Bone Marrow/pathology', 'Clinical Trials as Topic', 'Humans', 'Leukemia, Lymphoid/pathology/*radiotherapy', 'Leukocyte Count', 'Male', 'Neoplasm Metastasis', 'Neoplasm Recurrence, Local', 'Nervous System Neoplasms/secondary', 'Probability', 'Prognosis', 'Radiation Dosage', 'Testicular Neoplasms/pathology/*radiotherapy', 'Time Factors']",1980/08/01 00:00,1980/08/01 00:01,['1980/08/01 00:00'],"['1980/08/01 00:00 [pubmed]', '1980/08/01 00:01 [medline]', '1980/08/01 00:00 [entrez]']",['10.1002/1097-0142(19800801)46:3<508::aid-cncr2820460315>3.0.co;2-i [doi]'],ppublish,Cancer. 1980 Aug 1;46(3):508-15. doi: 10.1002/1097-0142(19800801)46:3<508::aid-cncr2820460315>3.0.co;2-i.,,,,
6994844,NLM,MEDLINE,19801027,20190904,0006-5242 (Print) 0006-5242 (Linking),40,5,1980 May,[Acute leukemia after kidney allotransplantation (author's transl)].,343-8,"Four cases of acute myelogenous leukemia and six cases of chronic myelogenous leukemia after treatment with azathioprine and prednisone for renal allotransplantation have been described in the literature. We report another two cases of acute leukemia 10 and 5 years after successful renal allotransplantation. Patient 1, a 29-year-old farmer, exhibited the signs of acute lymphatic leukemia resistent to treatment with cytostatic agens. Death was due to pneumonia. Patient 2, a 47-year-old salesman, developed pancytopenia together with splenomegaly. After splenectomy an atypical subacute myeloid leukemia became apparent which was not treated due to withdrawal of the patient. He died 2 months after diagnosis. Both patients received long-term immunosuppressive therapy with azathiopine and prednisone until the leukemia was diagnosed. A relationship between long-term immunosuppression and the occurrence of leukemia is postulated.","['Frei, D', 'Binswanger, U', 'Fehr, J', 'Briner, J', 'Sauter, C', 'Largiader, F']","['Frei D', 'Binswanger U', 'Fehr J', 'Briner J', 'Sauter C', 'Largiader F']",['ger'],,"['Case Reports', 'English Abstract', 'Journal Article']",Germany,Blut,Blut,0173401,"['MRK240IY2L (Azathioprine)', 'VB0R961HZT (Prednisone)']",IM,"['Adult', 'Azathioprine/adverse effects', 'Humans', '*Kidney Transplantation', 'Leukemia, Lymphoid/etiology', 'Leukemia, Myeloid, Acute/*etiology', 'Male', 'Middle Aged', 'Prednisone/*adverse effects', 'Time Factors', 'Transplantation, Homologous']",1980/05/01 00:00,1980/05/01 00:01,['1980/05/01 00:00'],"['1980/05/01 00:00 [pubmed]', '1980/05/01 00:01 [medline]', '1980/05/01 00:00 [entrez]']",['10.1007/BF01025589 [doi]'],ppublish,Blut. 1980 May;40(5):343-8. doi: 10.1007/BF01025589.,,,Akute Leukamie nach Nierentransplantation.,
