PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,GS,MH,PMC,EDAT,MHDA,CRDT,PHST,PST,SO,SI,GR,AID,RF,TT,RIN,EIN,CIN,OID,OAB,OABL,OTO,OT,GN,CON
1260143,NLM,MEDLINE,19760706,20190902,0006-5242 (Print) 0006-5242 (Linking),32,4,1976 Apr,Studies on the erythropoietic cell system in CBA mice after Rauscher virus infection.,257-68,"Erythropoiesis in CBA mice was studied in Rauscher leukemia virus infected mice using the incorporation of 59Fe into spleen, bone marrow and peripheral blood. Beginning at day 4 an increased uptake into the spleen and a decrease in the bone marrow and the peripheral blood was observed. The increased uptake by the spleen was also found in plethoric mice. The erythropoietin responsive compartment was also enlarged in the spleen of these mice. The The dose-response-curve for erythropoietin was altered 4 days after infection, there was a higher background level of 59Fe incorporation and the response to low doses was better in infected animals. The reticulocytopenia which is usually seen in these mice, was overcome by administration of high doses of erythropoietin. It is concluded that the Rauscher virus acts in a similar manner to erythropoietin, but the erythropoiesis induced is ineffective since the cells do not mature. This maturation deficiency is influenced by administration of exogenous erythropoietin.","['Seidel, H J']",['Seidel HJ'],,['eng'],['Journal Article'],Germany,Blut,Blut,0173401,"['0 (Iron Radioisotopes)', '11096-26-7 (Erythropoietin)']",IM,,"['Animals', 'Bone Marrow Cells', 'Cell Count', 'Dose-Response Relationship, Drug', '*Erythropoietin', 'Female', 'Iron Radioisotopes', 'Mice', 'Mice, Inbred CBA', '*Rauscher Virus', 'Spleen/pathology', 'Time Factors', 'Virus Diseases/*pathology']",,1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Blut. 1976 Apr;32(4):257-68. doi: 10.1007/BF01005306.,,,['10.1007/BF01005306 [doi]'],,,,,,,,,,,,
1260132,NLM,MEDLINE,19760706,20210216,0006-4971 (Print) 0006-4971 (Linking),47,5,1976 May,Unregulated growth of murine leukemic cells and suppression of normal granulocyte growth in diffusion chamber cultures.,737-45,"The patterns of proliferation of C1498 mouse acute leukemic cells have been studied using the diffusion chamber technique of cell culture. These malignant cells grow to the same maximal cell concentration irrespective of initial cell input. Leukemic cells proliferate equally well with or without the stimulus of prior host irradiation. When cells cultured for several days are diluted to the original input concentration and recultured, they rapidly proliferate back to maximal cell number. All of these findings are in sharp contrast to the behavior of granulocytes from normal mouse marrow grown in the same culture system. Co-culutre of equal numbers of normal marrow cells and leukemic cells results in virtually complete inhibition of normal marrow cells and leukemic cells results in virtually complete inhibition of normal granulocyte growth. These experiments provide a means of studying malignant growth of leukemic cells, as compared to the controlled growth and differentiation of normal granulocytes, and mechanisms by which leukemic cells suppress normal granulocyte development.","['Miller, A M', 'Marmor, J B', 'Page, P L', 'Russell, J L', 'Robinson, S H']","['Miller AM', 'Marmor JB', 'Page PL', 'Russell JL', 'Robinson SH']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,,IM,,"['Animals', 'Bone Marrow/metabolism', 'Bone Marrow Cells', 'Cell Differentiation', 'Cell Division', '*Cell Transformation, Neoplastic', 'Cells, Cultured', 'Female', 'Granulocytes/*physiopathology', 'Leukemia, Experimental/metabolism/*physiopathology', 'Leukocytes/*physiopathology', 'Mice', 'Mice, Inbred C57BL', 'Neoplasm Transplantation', 'Radiation Chimera']",,1976/05/01 00:00,1976/05/01 00:01,['1976/05/01 00:00'],"['1976/05/01 00:00 [pubmed]', '1976/05/01 00:01 [medline]', '1976/05/01 00:00 [entrez]']",ppublish,Blood. 1976 May;47(5):737-45.,,,['S0006-4971(20)70209-0 [pii]'],,,,,,,,,,,,
1260131,NLM,MEDLINE,19760706,20210216,0006-4971 (Print) 0006-4971 (Linking),47,5,1976 May,Chromosomal banding patterns in acute nonlymphocytic leukemia.,705-21,"Bone marrow chromosomes obtained from 50 of 55 consecutive adult patients with acute nonlymphocytic leukemia were analyzed with quinacrine fluorescence. Twenty-five patients showed a normal karyotype and 25 an abnormal karyotype on the initial samples available for analysis. Among the 25 patients with abnormalities, the marrow cells contained 48 chromosomes in one case, 47 in two, 46 in ten, 45 in nine, 43 in two, and 42 chromosomes in one case. Seven of the ten patients with 46 chromosomes had abnormalities, primarily balanced translocations, that were not detected with the standard Giemsa stains. The analysis of all of the data available revealed the presence of nonrandom chromosome changes such as the addition of No. 8, the loss of No. 7, and a gain or loss of one No. 21. the most frequent structural rearrangement was the translocation between the long arm of No. 8 and No. 21, which may also be associated with the loss of a sex chromosome. Chromosomal abnormalities decreased or disappeared during remission; the same abnormality recurred in relapse. Chemotherapy did not appear to produce a stable clone of aberrant cells. Evolution of the karyotype occurred in eight patients, in five of whom an additional No. 8 was observed. This pattern of chromosomal evolution in patients with acute leukemia was very similar to that observed in patients with chronic myelogenous leukemia in the blast phase.","['Rowley, J D', 'Potter, D']","['Rowley JD', 'Potter D']",,['eng'],['Journal Article'],United States,Blood,Blood,7603509,,IM,,"['Acute Disease', 'Chromosome Aberrations/*complications', 'Chromosome Disorders', 'Chromosomes, Human, 1-3', 'Chromosomes, Human, 16-18', 'Chromosomes, Human, 21-22 and Y', 'Chromosomes, Human, 4-5', 'Chromosomes, Human, 6-12 and X', 'Diploidy', 'Female', 'Humans', 'Karyotyping', 'Leukemia/*complications', 'Male', 'Sex Chromosome Aberrations', 'Translocation, Genetic']",,1976/05/01 00:00,1976/05/01 00:01,['1976/05/01 00:00'],"['1976/05/01 00:00 [pubmed]', '1976/05/01 00:01 [medline]', '1976/05/01 00:00 [entrez]']",ppublish,Blood. 1976 May;47(5):705-21.,,,['S0006-4971(20)70207-7 [pii]'],,,,,,,,,,,,
1260130,NLM,MEDLINE,19760706,20210216,0006-4971 (Print) 0006-4971 (Linking),47,4,1976 Apr,Polyamine concentrations in bone marrow aspirates of children with leukemia and other malignancies.,695-701,"High-pressure liquid chromatography analysis of polyamines in bone narrow from leukemic and nonleukemic subjects demonstrated increased concentrations of putrescine, spermidine, and spermine associated with increased cellularity. The most striking abnormality was the marked elevation of putrescine. Bone marrow polyamine analysis may be an adjunct for evaluation of leukemia patients.","['Rennert, O', 'Miale, T', 'Shukla, J', 'Lawson, D', 'Frias, J']","['Rennert O', 'Miale T', 'Shukla J', 'Lawson D', 'Frias J']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (Polyamines)', '2FZ7Y3VOQX (Spermine)', 'U87FK77H25 (Spermidine)', 'V10TVZ52E4 (Putrescine)']",IM,,"['Bone Marrow/*analysis', 'Child', 'Humans', 'Leukemia/*analysis', 'Leukemia, Lymphoid/analysis', 'Polyamines/*analysis', 'Putrescine/analysis', 'Remission, Spontaneous', 'Spermidine/analysis', 'Spermine/analysis']",,1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Blood. 1976 Apr;47(4):695-701.,,,['S0006-4971(20)70249-1 [pii]'],,,,,,,,,,,,
1260129,NLM,MEDLINE,19760706,20210216,0006-4971 (Print) 0006-4971 (Linking),47,4,1976 Apr,Preferential involvement of chromosomes no. 8 and no. 21 in acute leukemia and preleukemia.,679-86,"Chromosome analyses were performed by a direct method on bone marrow cells of 147 patients with acute leukemia and preleukemia; in 53 chromosomally abnormal cell lines were found. Chromosome abnormalities due to structural alterations were observed in 48% of the aneuploid patients. Using the ASG banding technique, the exact identification of the abnormal chromosomes was successfully made in 22 aneuploid patients. Even though variability between patients existed in the chromosome changes; the nonrandom occurrence of some chromosome abnormalities was revealed, involving most frequently chromosomes No. 8 and No. 21. Abnormalities of chromosome No. 22 were not encountered, contrasting sharply with the frequent involvement of this chromosome in chronic myelogenous leukemia. The significance of the preferential involvement of No. 8 and No. 21 chromosomes is discussed in relation to leukemogenesis.","['Yamada, K', 'Furusawa, S']","['Yamada K', 'Furusawa S']",,['eng'],"['Case Reports', 'Journal Article']",United States,Blood,Blood,7603509,,IM,,"['Acute Disease', 'Adult', 'Child', 'Chromosome Aberrations/*complications/genetics', 'Chromosome Disorders', '*Chromosomes, Human, 21-22 and Y', '*Chromosomes, Human, 6-12 and X', 'Female', 'Humans', 'Karyotyping', 'Leukemia/*complications/genetics', 'Male', 'Middle Aged', 'Precancerous Conditions/genetics', 'Trisomy']",,1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Blood. 1976 Apr;47(4):679-86.,,,['S0006-4971(20)70247-8 [pii]'],,,,,,,,,,,,
1259942,NLM,MEDLINE,19760706,20190704,0007-1048 (Print) 0007-1048 (Linking),32,4,1976 Apr,The role of continuous flow centrifuge leucapheresis in the management of chronic lymphocytic leukaemia.,609-15,"Continuous flow centrifuge leucapheresis (CFCL) provides a simple, mechanical technique for removing large numbers of circulating lymphocytes without cytotoxicity. Seven sequences of CFCL were performed on six patients with chronic lymphocytic leukaemia (CLL). In six, the median course consisted of six procedures in 10 days. A median total of 27.7 X 10(11) leucocytes were removed and a 70% drop in leucocyte counts (from 433 X 10(9)/l. to 130 X 10(9)/l.) was observed with little fall in haemoglobin and platelet counts. Tissue massess decreased in two patients. A similar effect was seen in one patient managed less intensively with 21 procedures being performed over 73 days, removing a total of 87.6 X 10(11) leucocytes. The peripheral leucocyte count decreased from 760 X 10(9)/l. to 114 X 10(9)/l. and hepatomegaly diminished markedly. One patient has survived for over 9 months since CFCL but stayed in control only briefly after each of two courses. Short courses of daily CFCL can produce short-term benefit in the management of advanced CLL but at present its main value is as an investigational form of therapy which provides a unique opportunity to study the cytokinetics of advanced CLL without the complications of superimposed cytotoxic therapy.","['Fortuny, I E', 'Hadlock, D C', 'Kennedy, B J', 'Theologides, A', 'McCullough, J']","['Fortuny IE', 'Hadlock DC', 'Kennedy BJ', 'Theologides A', 'McCullough J']",,['eng'],"['Case Reports', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Br J Haematol,British journal of haematology,0372544,,IM,,"['Aged', 'Blood Transfusion/*instrumentation', 'Female', 'Humans', 'Leukemia, Lymphoid/*therapy', 'Leukocyte Count', '*Lymphocytes', 'Male', 'Middle Aged']",,1976/04/01 00:00,1976/04/01 00:01,['1976/04/01 00:00'],"['1976/04/01 00:00 [pubmed]', '1976/04/01 00:01 [medline]', '1976/04/01 00:00 [entrez]']",ppublish,Br J Haematol. 1976 Apr;32(4):609-15. doi: 10.1111/j.1365-2141.1976.tb00965.x.,,,['10.1111/j.1365-2141.1976.tb00965.x [doi]'],,,,,,,,,,,,
1259914,NLM,MEDLINE,19760706,20190515,0007-0920 (Print) 0007-0920 (Linking),33,2,1976 Feb,The growth patterns of two transplantable acute leukaemias of spontaneous origin in rats.,172-80,"The growth pattern and morphology of two transplantable acute leukaemias which arose spontaneously in pure line rats are described. They differ morphologically and on the basis of their behaviour in vivo, such as infiltration of lymphoid organs and presence in thoracic duct lymph, the leukaemia syngeneic to the August strain (referred to as the SAL) appears to be of myeloid type whereas the leukaemia syngeneic to the Hooded strain (referred to as the HRL) resembles acute lymphoblastic leukaemia. The HRL cells, but not the SAL cells, are lysed by murine anti-theta serum plus complement. These two transplantable acute leukaemias appear to be useful animal counterparts ot the human acute leukaemias and may be valuable models for studies on chemotherapy and immunotherapy.","['Wrathmell, A B']",['Wrathmell AB'],,['eng'],['Journal Article'],England,Br J Cancer,British journal of cancer,0370635,"['0 (Antilymphocyte Serum)', '9007-36-7 (Complement System Proteins)']",IM,,"['Animals', 'Antilymphocyte Serum/pharmacology', 'Cell Survival', 'Complement System Proteins', 'Cytotoxicity Tests, Immunologic', 'Female', 'Leukemia, Experimental/immunology/*pathology', 'Male', 'Neoplasm Transplantation', 'Rats', 'Rats, Inbred Strains', 'Time Factors', 'Transplantation, Isogeneic']",PMC2024943,1976/02/01 00:00,1976/02/01 00:01,['1976/02/01 00:00'],"['1976/02/01 00:00 [pubmed]', '1976/02/01 00:01 [medline]', '1976/02/01 00:00 [entrez]']",ppublish,Br J Cancer. 1976 Feb;33(2):172-80. doi: 10.1038/bjc.1976.22.,,,['10.1038/bjc.1976.22 [doi]'],,,,,,,,,,,,
1259821,NLM,MEDLINE,19760706,20061115,0539-6115 (Print) 0539-6115 (Linking),33,2,1976 Mar-Apr,[Acute leukemia with cardiac infiltration].,447-55,"A nine years old female child with malnutrition who showed, six months before admission, a number of clinical manifestations consistent with leukemia. The outstanding clinical manifestation during her hospital stay was that of pericarditis with effusion, which was found associated with pericardial leukemic infiltration. The final picture was that of cardiorespiratory failure associated, both to leukemic infiltration of these organs, as to that of postoperative hemorrhage.","['Salas, M', 'Lopez Poumian, G']","['Salas M', 'Lopez Poumian G']",,['spa'],"['Case Reports', 'English Abstract', 'Journal Article']",Mexico,Bol Med Hosp Infant Mex,Boletin medico del Hospital Infantil de Mexico,0414106,,IM,,"['Acute Disease', 'Autopsy', 'Child', 'Female', 'Hemorrhage/etiology', 'Humans', 'Leukemia/*complications/pathology', 'Male', 'Pericardial Effusion/*etiology', 'Pericarditis/*etiology/pathology', 'Pericardium/pathology']",,1976/03/01 00:00,1976/03/01 00:01,['1976/03/01 00:00'],"['1976/03/01 00:00 [pubmed]', '1976/03/01 00:01 [medline]', '1976/03/01 00:00 [entrez]']",ppublish,Bol Med Hosp Infant Mex. 1976 Mar-Apr;33(2):447-55.,,,,,Leucemia aguda con infiltracion cardiaca,,,,,,,,,,
1259769,NLM,MEDLINE,19760602,20190612,0006-291X (Print) 0006-291X (Linking),69,1,1976 Mar 8,Terminal deoxynucleotidyl transferase in AKR leukemic cells and lack of relation of enzyme activity to cell cycle phase.,63-7,,"['Harrison, T A', 'Barr, R D', 'McCaffrey, R P', 'Sarna, G', 'Silverstone, A E', 'Perry, S', 'Baltimore, D']","['Harrison TA', 'Barr RD', 'McCaffrey RP', 'Sarna G', 'Silverstone AE', 'Perry S', 'Baltimore D']",,['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,['EC 2.7.7.- (DNA Nucleotidyltransferases)'],IM,,"['Animals', '*Cell Division', 'DNA Nucleotidyltransferases/*metabolism', 'Leukemia, Experimental/*enzymology', 'Lymph Nodes/enzymology', 'Mice', 'Mice, Inbred AKR', 'Spleen/enzymology', 'Thymus Gland/enzymology', 'Time Factors']",,1976/03/08 00:00,1976/03/08 00:01,['1976/03/08 00:00'],"['1976/03/08 00:00 [pubmed]', '1976/03/08 00:01 [medline]', '1976/03/08 00:00 [entrez]']",ppublish,Biochem Biophys Res Commun. 1976 Mar 8;69(1):63-7. doi: 10.1016/s0006-291x(76)80272-0.,,,"['S0006-291X(76)80272-0 [pii]', '10.1016/s0006-291x(76)80272-0 [doi]']",,,,,,,,,,,,
1259540,NLM,MEDLINE,19760520,20041117,0004-069X (Print) 0004-069X (Linking),24,1,1976,In vitro response of lymphocytes to phytohemagglutinin (PHA) and serum levels of immunoglobulins during remission of acute leukemia.,93-8,"The study group consisted of 13 patients, including 5 in complete remission and 8 in incomplete hematologic remission. Six patients had a pause in therapy, and the remaining ones were continuing maintenance therapy. In all cases production of IgG, IgA and IgM immunoglobulins was maintained. Response of lymphocytes to PHA in vitro was normal in 7 patients, mainly in those who had a pause in treatment. The test results were uncorrelated with hematologic status. Both tests showed preserved humoral immunity and delyed hypersensitivity in the early period of remission and had no prognositc value.","['Traczyk, Z', 'Arczynska, E', 'Ciesluk, S']","['Traczyk Z', 'Arczynska E', 'Ciesluk S']",,['eng'],['Journal Article'],Switzerland,Arch Immunol Ther Exp (Warsz),Archivum immunologiae et therapiae experimentalis,0114365,"['0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (Immunoglobulins)', '0 (Lectins)']",IM,,"['Acute Disease', 'Adolescent', 'Adult', 'Humans', 'Immunoglobulin G/analysis', 'Immunoglobulin M/analysis', 'Immunoglobulins/*analysis', 'Lectins/pharmacology', 'Leukemia/*immunology', '*Lymphocyte Activation', 'Lymphocytes/*immunology', 'Middle Aged', 'Remission, Spontaneous']",,1976/01/01 00:00,1976/01/01 00:01,['1976/01/01 00:00'],"['1976/01/01 00:00 [pubmed]', '1976/01/01 00:01 [medline]', '1976/01/01 00:00 [entrez]']",ppublish,Arch Immunol Ther Exp (Warsz). 1976;24(1):93-8.,,,,,,,,,,,,,,,
